0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
;Наим-е подвески;точки подв-ки 1Б.Р;;Точка подв-ки 2;;Точки подв-ки 3.4;;Точки подв-ки 5.6;;точки подв-ки 7.8;;точки подв-ки 9.10;;Точки подв-ки 11.12;
;1;;;;;51;13.028;;;;;18;11.715;53;12.548
;АКУ-58АЭ;;;;;185;13.128;;;;;185;11.815;185;12.648
;Ракера Х-29Л;;;;;700;12.623;;;;;700;11.325;700;12.143
19;Подвеска ракет Х-31А;-----;;-----;;0;0;-----;;-----;;0;0;0;0
;1;;;;;51;13.028;;;;;18;11.715;53;12.548
;АКУ-58АЭ;;;;;185;13.128;;;;;185;11.815;185;12.648
;Ракера Х-31А;;;;;610;12.482;;;;;610;11.183;610;12.002
20;Подвеска ракет Х-31П;-----;;-----;;0;0;-----;;-----;;0;0;0;0
;1;;;;;51;13.028;;;;;18;11.715;53;12.548
;АКУ-58АЭ;;;;;185;13.128;;;;;185;11.815;185;12.648
;Ракета Х-31П;;;;;600;12.531;;;;;600;11.232;600;12.051
21;Подвеска ракет Х-31ПМ;-----;;-----;;0;0;-----;;-----;;0;0;0;0
;1;;;;;51;13.028;;;;;18;11.715;53;12.548
;АКУ-58АЭ;;;;;185;13.128;;;;;185;11.815;185;12.648
;Ракета Х-31ПМ;;;;;690;12.497;;;;;690;11.198;690;12.017
22;Подвеска ракет Х-35У;0;0;-----;;0;0;-----;;-----;;-----;;0;0
;1;25;10.555;;;51;13.028;;;;;;;53;12.548
;АКУ-58АЭ;185;10.655;;;185;13.128;;;;;;;185;12.648
;Ракета Х-35У;536;10.341;;;1072;12.814;;;;;;;1072;12.334
23;Подвеска ракет Х-59М2А;0;0;-----;;0;0;-----;;-----;;-----;;0;0
;1;25;10.555;;;51;13.028;;;;;;;53;12.548
;АКУ-58АЭ;185;10.655;;;185;13.128;;;;;;;185;12.648
;Ракета х-59М2А;920;11.316;;;920;12.639;;;;;;;920;12.159
24;Подвеска ракет Х-58УШК;0;0;-----;;0;0;-----;;-----;;-----;;0;0
;1;25;10.555;;;51;13.028;;;;;;;53;12.548
;АКУ-58АЭ;185;10.655;;;185;13.128;;;;;;;185;12.648
;Ракета Х-58УШК;646;10.175;;;646;12.648;;;;;;;646;12.168
25;Подвеска С-8;-----;;-----;;0;0;-----;;-----;;-----;;0;0
;1;;;;;;;;;;;;;53;12.548
;2;;;;;98;13.037;;;;;;;;
;БД3-УСКМ;;;;;108;12.928;;;;;;;54;12.548
;Пусковое устройство Б8М-1;;;;;300;12.923;;;;;;;150;12.543
;Снаряды С-8БМ. С-8Т (полная зарядка);;;;;304;13.106;;;;;;;304;12.726
26;Подвеска С-13;-----;;-----;;0;0;-----;;-----;;-----;;0;0
;1;;;;;;;;;;;;;53;12.548
;2;;;;;98;13.037;;;;;;;;
;БД3-УСКМ;;;;;108;12.928;;;;;;;54;12.548
;Пусковое устройство Б13Л;;;;;320;13.118;;;;;;;160;12.738
;Снаряды С-13Т (полная зарядка);;;;;375;12.88;;;;;;;375;12.5
27;Подвеска С-25ОФМ;-----;;-----;;0;0;-----;;-----;;-----;;0;0
;1;;;;;;;;;;;;;53;12.548
;2;;;;;98;13.037;;;;;;;;
;БД3-УСКМ;;;;;108;12.928;;;;;;;54;12.548
;Пусковое устройство О-25Л;;;;;142;13.577;;;;;;;71;13.197
;Снаряды С-25ОФМ;;;;;430;12.745;;;;;;;430;12.365
28;Подвеска С-25ЛД;-----;;-----;;0;0;-----;;-----;;-----;;0;0
;1;;;;;51;13.028;;;;;;;53;12.548
;БД3-УСКМ;;;;;54;13.028;;;;;;;54;12.548
;Пусковое устройсиво О-25Л;;;;;53;13.677;;;;;;;53;13.197
;снаряды С-25ЛД;;;;;480;12.845;;;;;;;480;12.365
